userName,score,at,content
Ryanto MGJogjakarta,5,2025-03-06 13:16:15,"knapa koq setelah di perbaharui,terus masuk,cuma muter2 kayak gasingan..,pdahal signal aman..,setelah di perbaharui bukannya bagus,malah muter2 gak ada gambar nya..,segera benahi,apk baru ini masih banyak bug.. Sekalian nomer kurir harus di cantumkan, agar kita bisa memberi tahu kurir, saat pengantaran, saat kita tidak di rumah.."
NENG RANI NR,5,2025-03-06 05:32:48,"Utk saat ini aplikasi shopee, aplikasi belanja paling bagus. Barang yg di cari kumplit. Hrg nya lumayan murah plus gratis ongkir n bsa pilih2 expedisi pengiriman paket. Cuma skrg2 tiap buka aplikasi langsung muncul video, klw bsa di hilangkan sebab customer merasa terganggu. Sebab seolah2 di paksa hrs nonton video dulu...ğŸ™ğŸ™"
kang udin,2,2025-03-05 05:12:48,"ini kedua kalinya saya update yang kemarin saya update karena buka aplikasi langsung muncul video live karena terasa kurang nyaman,terus saya update lagi tadi kirain sudah berubah tidak langsung live video ternyata masih tetap(kecewa) terus ditambah buka aplikasi habis saya update tadi tambah berat mau ngecek pengiriman lama banget bukanya berputar-putar padahal kecepatan wifiku diatas rata-rata parah ini tambh berat untuk buka.."
MalikaAzzF,1,2025-03-05 01:58:23,"Sangat mengganggu, iklan dimana-mana. Bahkan kadang suka ada tombol X palsu yang kalau ditekan langsung mengarah ke aplikasi shopee. Buka web dikit ada shopee, buka game ada shopee intinya iklan shopee sangat menganggu"
Rosyta,1,2025-03-04 16:39:33,"Sy pengguna lama.baru"" ini kecewa.sepertinya harus di perbaiki systemny.. pembelian selalu di tolak dana di kembalikan krn indikasi transaksi tdk wajar.. yang tdk wajar itu marketplace tp tdk bs di pakai untuk belanja.. bisa di cek dr seluruh riwayat transaksi pengguna kan tdk wajarnya dimana.."
Alfian Eka putra,1,2025-03-04 11:05:15,"Masalah transfer dan lihat saldo, sering banget error walaupun nanti bakal betul sendiri tetap saja jika membutuhkan saldo ini terasa lama dan menjengkelkan!, selalu muncul tulisan kesalahan jaringan, kaga ngerti saya ada masalah apa sama jaringan saya yang segini bagusnya!"
Yulia Ayu Maulita,2,2025-03-04 09:07:08,"Saran untuk pihak shopee, ketika kita masuk ke applikasi jangan langsung dimasukkan ke shopee video, suaranya lgsg keluar dan mengganggu. Jadi pada tahu klo kita lagi buka shopee. Pas buka applikasi tolong masukkan ke layar utama tanpa video."
Vania Natasya,2,2025-03-04 03:17:10,Saya sangat sangat kecewa sama aplikasi Shopee padahal dulu saya suka banget tapi sekarang saya sangat kecewa karena saya beli produk di Shopee kurir Spx super duper terlambat bahkan pengiriman melebihi batas waktu yang tertera sampe sekarang paket saya nggak nyampe nyampe padahal biasanya nggak kaya gitu tolong di perbaikilah agar jasa kirim kirim paket itu sesuai waktu yang tertera jangan kaya gini
Abdul Hamed,1,2025-03-03 18:21:40,"1. ""Saya sangat kecewa dengan sistem Shopee yang selalu mengancel order saya. Saya sudah beberapa kali mencoba order, tapi selalu gagal."" 2. ""Aplikasi Shopee sangat tidak stabil. Saya tidak bisa melakukan order dengan lancar karena sistem selalu mengancel transaksi saya."" 3. ""Saya merasa kesal dengan Shopee karena order saya selalu dikancel tanpa alasan yang jelas. Saya ingin tahu apa yang salah dengan sistem Shopee."""
PA'I GAMING,1,2025-03-03 17:10:57,"Aduhh iklannya ada dimana-mana ga di game ga di website di semua platform ada sebenernya ga masalah tapi ituloh iklannya suka maksa masuk ke aplikasi shopee padahal gue ga mau belanja sama sekali lol, mohon ya sebenarnya shopee udah di kenal banyak orang kenapa iklannya sangat merajalela dan memaksakan pengguna untuk masuk ke aplikasi shopee??? Lu pikir kita mau mau belanja setiao detik???"
Yulia Sapitri,1,2025-03-03 12:24:27,Kenapa ya setiap saya buka aplikasinya selalu nge bug dan kembali ke halaman. sedangkan saya ada spaylater takutnya saat nanti pembayaran saya sulit buka aplikasinya. Sebelumnya bagus bagus aja tapi setelah di update ke shopee bih ramadhan jadi nge bug
Aztie Audy,1,2025-03-03 08:50:18,"Aplikasi nya makin kesini malah makin sering eror, ngebug, lemot bangetttt diperbaiki versi terbaru bukannya makin bagus malah makin jelek. Bagus untuk pelayanannya tapi aplikasinya keseringan eror. Susah banget buat chat ke cs servis nya!"
Itaa Rositaa,1,2025-03-03 08:16:21,"Gajelas banget pesanan sering tiba tiba dibatalkan, keterangan karena aktifitas tidak wajar, gak wajarnya sebelah mana ya? Karena seminggu co nya bisa sampai 20x? Yaudah kan juga jdi sama sama untung, klo untuk voucher jdi gabisa dipake karena terlalu sering, terus gunanya apaan dipajang paling atas sama bisa diklik klo pas dipake malah dibatalkan sistem. Chat cs malah ilang fitur buat chat nya, pdahal udh bertahun tahun pake shopee loh ko sekarang malah jdi kaya gini. Kecewa berat!"
BangBeeYT,1,2025-03-03 04:04:33,"Sangat buruk, untuk pengiriman reguler biasanya sangat cepat seminggu dah sampai, tapi kok sekarang untuk regulernya selalu SPX untuk kurirnya, malah sangat lama sampainya, beda sama reguler seperti biasa JNT/sicepat seminggu dah smpai, miris untuk update sekarang selalu aja jasa kirim spx sangat lambat,."
Dhea Salsabila,1,2025-03-03 02:40:09,"Bertahun"" pakai shopee aman, nyaman, selalu jadii favorit belanja online.. Tapi akhir"" ini belanja apapun susah.. Beli ini itu untuk keperluan sehari"" Di batalkan semua.. katanya terditeksi aktivitas tidak wajar.. apanya yg gk wajar?? kecewa bgt.. jd makin ribett.. smoga kedepannya bisa diperbaiki dan seperti dulu lg"
Yayi Ruwandini,1,2025-03-03 01:03:30,Videonya gajelas. Buka aplikasi langsung masuk video. Udah back tetep suara ga ilang..bahkan kluar aplikasi recent app udah di hapus suara tetep ga ilang. Msih ngulang ngulang terus suara di videonya..sangat mengganggu !
Ririz Haloho,1,2025-03-02 23:51:46,"Shopee mulai ga jelas.. Kualitasnya sekarang sangat sangat teramat buruk sekali dan mengecewakan ğŸ‘ğŸ‘ğŸ‘ğŸ‘..Niat kasih voucher ga sih? Tiap belanja dibatalkan.. Tutup aja mending aplikasinya, percuma ada aplikasinya tapi ga bisa dipake belanja.."
rizky 93,1,2025-03-02 16:50:35,"Shopee ko jadi parah gini sih..gak bisa cekout.. Setiap kali cekout pasti langsung di batalkan system. Percuma ngasih vocer juga kalau tidak bisa di pakai.. Padahal saya mau beli bukan mau ngerampok ,eh malah di persulit. Bener-bener shopee bikin kecewa ,parah banget"
Mama Elda,1,2025-03-02 16:24:24,"Makin kesini semakin ga jelas, voucher diadakan pas pembayaran selalu pembatalan otomatis. Tidak seperti aplikasi lain ga ada pembatasan atau pembatalan sistem karena penggunaaan voucher. Terima kasihğŸ™"
Yuli Supriyono,3,2025-03-02 07:15:57,Setiap mencari sesuatu produk yang di tampilkan pruduk sama tapi dengan ukuran yg berbeda ... Padahal di pencarian sudah di tulis produk beserta ukuran nya ... Tp yg di tampilkan berbeda ukuran .. mohon di perbaiki... Sehingga kita sebagai pengguna tidak susah untuk memilih produk ....
Kemal,1,2025-03-02 05:45:17,"Selalu telat kirim , ga kayak aplikasi sebelah konsisten pengiriman cepat gratis ongkir , ada voucher garansi tepat waktu tapi ga berguna , garansi itu yg serius cuma cuma tanpa minum pembelian, produk nya bebas, 10 rb bisa apa? Bikin komitmen yang jelas!!, vocer banyak banget syaratnya,pas chekout sama aja!!! masalah nya bukan garansi nya tapi ketepatan pengiriman yg penting, nungguin barangnya Ampe buluk , payah sopi"
Unun Afifah,2,2025-03-02 05:08:53,"Kecewa beraaat, aku user shopee dari sekitar 2018an. Baru kali ini kecewa berat. Cuma mau checkout terdeteksi transaksi tidak wajar. Dimananya yg tidak wajar?? Awalnya co dengan voucher besar ga bisa, makin kesini co harga 10 rebu beli sabun mandi juga ga bisa kalo pake voucher. Kalo tanpa voucher bisa co dengan mudah. Helloo shopee, itu voucher ga cuma cuma ya, saya beli shopee plus tapi terdeteksi transaksi tidak wajar. Shopee rekom buat beli shopeeplus giliran beli ga bisa pake. Merugikan"
Desi Tri Utami,2,2025-03-02 01:09:21,"Minusnya shopee : 1. Tiap masuk aplikasi, langsung masuk shopee video. 2. Aku saya sudah 2x kena MO4, padahal saya cuma punya 1 akun. Solusinya terpaksa langganan ShopeePlus..jadi sekarang pakai voucher gratis ongkir, harus beli dulu (alias tidak gratis secara cuma-cuma seperti dulu) 3. Chat prioritas platinum, tapi CS tidak ada yg tersedia (mungkin karena hari Minggu, jadi semua CS pada libur) Plusnya shopee : 1. Barang lebih lengkap dari platform sebelah 2. Banyak voucher diskon/cashback"
Otogami Yoshitake,1,2025-03-01 21:48:59,"Shopee itu aplikasi yang sangat berguna, dengan fitur lengkap dan promo menarik. Tapi, masalahnya saya tidak bisa login ke akun sendiri karena harus verifikasi wajah. Sudah dicoba berkali-kali, scan wajah saya selalu gagal. Padahal wajah saya jelas sama. Saya jadi bingung, ini masalah aplikasinya atau bagaimana? Tolong Shopee perbaiki sistem verifikasi wajahnya, biar pengguna tidak kesulitan login lagi."
Zahdan Maulana,1,2025-02-28 13:49:08,Kenapa saya akun baru.tapi bahkan pesanan saya dari pertama tidak pernah sampai.pesanan selalu berubah status dg keterangan saya yang mengembalikan barang.padahal tidak ada kurir sama sekali yg datang dirumah.kurir SPX sangat mengecewakan sekali
Asep Nurholis,1,2025-02-28 05:21:59,"Iklan yang muncul terlalu sering dan tidak dapat dihilangkan, mengurangi kenyamanan saat menggunakan aplikasi. Aplikasi sering kali crash dan berjalan sangat lambat, bahkan saat membuka fitur dasar. Beberapa fungsi utama tidak berjalan sesuai yang dijanjikan, sehingga mengganggu pengalaman pengguna."
Mar'atul Kiflia,1,2025-02-28 03:57:38,"Bertahun"" pakai shopee aman, nyaman, selalu jadii favorit belanja online.. Tapi akhir"" ini belanja apapun susah.. Beli ini itu untuk keperluan sehari"" Di batalkan semua.. katanya terditeksi aktivitas tidak wajar.. apanya yg gk wajar?? Vocer juga di sediakan shopee sendiri, barang juga barang kebutuhan rumah biasa... kecewa bgt.. jd makin ribett.. hampir gk bisa di pakai belanja shopeenya.. mana mau lebaran.."
Amanda Mirza,1,2025-02-27 22:46:45,Awalnya suka banget belanja pakai aplikasi ini.... Tapi sekarang banyak banget pembatalan..... Pdahal yg di cekout barang sesuai... Malah kadang barang berada di perjalanan menuju tempat tujuan malah di batalkan... Beli pakai vocer malah sering di batalkan... Aneh
Oktarina Wija,1,2025-02-27 21:55:15,"Kecewa sih. Keamanan untuk pembeli menurun sekarang. Jika terjadi kekurangan barng mending langsung ajukan pengmbalian barang. Karena garannsi setiap toko beda2. Daripada menyesal seperti saya. Walaupun respon penjual bagus, tapi pada saat harus klik terima barang, keiurangan belum sampai. Dan setelah itu tidak bisa pengembalian barang. Mending pengajuan dari awal. Siapa yg bisa menjamin sellernya beneran ngirim kekurangan barang atau tidak. Nyesel nyeseel"
lia aprilia,1,2025-02-27 02:15:33,"Aplikasi ini benar2 sangat merugikan penjual dan pembeli !!! Setiap kali co sllu di batalkn sistem dgn alasan yg tidak wajar. Kenapa shopee menyediakan voucher jika tdk bisa digunakan sama sekali ??? Saya pake shoppe krn memang dulu sangat menguntungkn, tapi skrg kayaknya nggak deh .."
Hadian Syah,1,2025-02-26 22:41:15,"Aplikasi makin ngaco... Awal buka aplikasi suka langsung ke shopee vidio... Pemaksaan, makan kouta, bikin lag, mana banyak bugnya, suara masih muncul meski klik beranda... Kedepannya tolong kasih pilihan jangan pemaksaan.... Sangat mengganggu..."
Retno Wati,1,2025-02-26 18:22:53,"Maaf bintangnya saya rubah ya... Ini ada apa dengan shopee ya..?? Tiap kali order pake voucher dengan jumlah banyak langsung dicancel otomatis dengan alasan terdapat aktivitas tidak wajar Padahal udah langganan dari dulu juga Kalo gini jadi bingung mau nyari barang buat dijual lagi ğŸ¤¦ğŸ»â€â™€ï¸ Tolong ditindak lanjuti masalah sering cancelnya ini ya shopee,,,"
Fredy,1,2025-02-26 00:54:40,"Sejak tanggal 25 Feb 2025 setiap belanja/checkout akan tercancel otomatis. Keterangannya Dibatalkan karena terdeteksi melakukan aktivitas tidak wajar. Status akun tidak dibatasi. Komplain ke cs gak wajar kenapa gak bisa jawab, ujungÂ²nya katanya karena voucher error. Suruh belanja/ co tanpa voucher. Trus voucherÂ² yg dikasih buat apa???"
Phonk JJ,5,2025-02-25 09:15:28,"Shopee rekomendasi belanja online terlengkap dan termurah, pengiriman nya lumayan cepat, pas awal pake shopee aplikasinya lancar aja, pas update/24/2/25. Aplikasi nya suka ngeleg, walaupun hp saya di bawah ram 4 , kemarinÂ² aman aja sekarang suka keluar sendiri, semoga shopee bisa mengoptimalkan lagi selebihnya udah baggus aplikasinya, sekian terimakasih.."
Irma Widiastuti,1,2025-02-25 05:20:07,"Sistem jelek, asal tebas aja. Ga bisa bedain seller jual produk original sama yang KW. Masih banyak berkeliaran seller yang jual produk tidak original, sedangkan yang jual produk original malah akun dibatasi & dipersulit untuk pemulihan akun. Minta berbagai bukti sampai dengan surat pernyataan sudah dituruti tapi dengan mudahnya CS bilang tidak sesuai. Ditanya tidak sesuainya bagaimana tidak kunjung di respon. Sangat mengecewakan."
Nada Hijrah Channel,2,2025-02-25 02:52:30,"Aplikasi Shopee bikin hp mati2/restart terus.. awalnya sering terjadi masalah pada saat pembayaran gagal terus. Pas verifikasi wajah.. terus hp jadi sering mati sendiri, kadang restart.. saya cari2 masalhnya dimna, ternyata bener, tanpa aplikasi shopee hp tdk pernah mati dan restart..."
sudarti sirait,1,2025-02-24 17:22:49,"Shopee is the best untuk trik bikin promo dan saat sudah mendekati waktunya banner di hilangkan. Suka2 bikin s&k. Cs yg jawabannya ga ada yg beres. The best mall suka iklan promo trus sudah di co di batalkan tokonya. Pokoknya the best lah. Makin ga jelas, sedikit2 M04 , curang engga, melakukan aktivitas mencurigakan seperti apa!!!!!!"
dwi purwanti,1,2025-02-24 17:07:17,Bintang aku kurangi karena apaan dah kena pelanggaran gara2 katanya terlalu sering gunakan promo event jadi akun di batasi gak bisa buat belanja pake vc diskon apapun.. Pdhl diluar banyak yang lebih sering pake vc diskon.. Gak ada solusi malah jawaban template doang yang di kirim..
Zaky Alsathrofy,3,2025-02-24 12:16:10,"Sekarang malah bikin kecewa,estimasi terlalu lama,jasa pengiriman lama suka mandek berhari2,banyak toko/seller kurang cepat respon,lamamemperoses pengemasannya,lama juga mengirimkannya..kacau kacau...jika masihbseperti ini,,wahhh...bisa banyak yg by by...kebanyakan vidio jadi lemot,,kadang error..huuhhhu"
GigaChan,1,2025-02-24 10:07:29,"Entah mengapa akhirÂ² ini aplikasi shopee membuat Handhone saya jadi ngehank. Waktu itu saya sedang lihat short video yang sedang mempromosikan beberapa produk, tidak lama kemudian Handphone saya tibaÂ² ngehank, gak bisa disentuh sama dimatikan. Saya terpaksa harus mematikan paksa dengan Safe Mode. Kejadian ini sudah 2 kali terjadi pada Handphone saya. Mohon diperbaiki, karena kayanya ini bug aplikasinya. Terima kasih."
Habib Faizal,1,2025-02-24 03:21:31,"Bertahun-tahun pake shopee aman lancar , cuma akhir2 ini parah Tiap pesan batal karena aktivitas tidak wajar padahal co yang biasa aja memanfaatkan voucher yang ada Kalaupun iya gara2 voucher terus kalian kasih voucher buat apa kalau ujung2nya gabisa dipake ğŸ‘ tiap tanya cs gak ada solusinya Kalian kan platform belanja , harusnya malah pro dong kalau kita sebagai user makin banyak CO tapi malah dibatasi , dibatalkan gak cuma 1 atau 2x tapi terus"
Alfin Ridyatulloh,4,2025-02-23 20:54:41,"Tolonglah untuk kinerjanya mohon ditingkatkan lagi, buka aplikasi shopee sekarang menguji kesabaraan seseorang,, padahal sinyal dan jaringan sudah lancar, clear chace tiap detik, hp ram'nya juga gede, pas buka aplikasi ini lemotnya minta ampun, apalagi klo lgi cek deskripsi serta ulasan foto/video pembeli, pencarian sebuah produk/toko malah bikin emosi seseorang."
Miftahul Silvani,1,2025-02-23 13:09:53,"Mohon kembalikan tombol ""pesanan telah selesai"" seperti dulu, yang ada konfirmasi lagi apabila mengklik tombol tersebut. Hal ini sangat merugikan ketika saya tidak sengaja mengklik tombol tersebut oleh telapak tangan/hal lain padahal tidak berniat untuk mengklik tombol tersebut. Dan hal ini terjadi hari ini & kebetulan dipaket yang ada kendala di gudang ekspedisi (paket saya isi MAKANAN digigit tikus dibagian ujungnya). Jadi saya tidak bisa melakuka return."
Ray,5,2025-02-23 02:24:13,"Saya pengguna baru shopee ada pesan nih untuk developer tolong dong update kedepannya dibikin lebih lancar lagi untuk pengguna perangkat android marshmallow versi 6.0 soalnya ini aplikasi berat banget lemot agak susah geser"" buat liat produk lainnya padahal penyimpanan masih lumayan cukup untuk menampung data apknya. Terus ini kenapa ya setiap kali mau lihat akun toko yg di follow selalu muncul ""jaringan tidak tersedia"" tapi kalo buka aplikasi lain aman aman aja. Tlong lebih di optimalkan lgi"
muhammad rozi,1,2025-02-21 14:11:01,Saya tidak bisa lagi cod. Gara gara barng batal dgn sendirinya.... Padahal saya tidak membatalkan... Dan teruntuk di daerah kami kaltim tolong jangan ada kurir/pengiriman spx... Karena semenjak pengiriman spx di daerah kami.. Barang tak pernah sampai.. Tau tau barng di kembalikan begitu saja padahal tidak pernah membatalkan pesanan... Tolong kembalikan sistem cod di akun saya.. Kesalahan ini bukan dari saya.. Tapi sistem pengiriman spx yg tidak sesuai
Opie Beaa,1,2025-02-20 08:51:44,"Uhhh....shopee....untuk pilihan barang, diskon, gratis ongkir sm pengirimannya oke loh. TAPI kenapa apk jd ngga banget gini habis diupdate. Udh di update, hapus cache baru masuk sebentar hp langsung restart sendiri. Buka apk lain aman2 aja cuma pas buka shopee doang yg begitu. Balikin shopeenya jd yg dulu aja bener2 ngga banget deh apk yg skrg ini.....Jangan salahin jaringan udh coba beda2 operator sm wifi ttp aja begitu loh shopeenya."
Eddie _,1,2025-02-19 05:10:10,"Pelayanan penjual dan untuk pihak ekspedisi kurang fast respon dalam memproses pengiriman pesanan. Proses pengemasan penjual lambat, begitu pun pihak ekspedisi kurirnya tidak segera pickup setelah penjual menjadwalkan pengiriman pesanan setelah selesai dikemas oleh penjual. Aplikasinya kalau dibuka larinya langsung ke LIVE & VIDEO, tidak pada posisi awal atau homes seperti aplikasi lainnya. Mohon ditingkatkan pelayanannya, supaya konsumen ga' kecewa dan merasa nyaman."
Aku Miny,1,2025-02-16 03:05:20,Diupdate pun masih tetap ada kendala 1. Ketika pertama buka langsung ke vidio..biarkan saja ke beranda seperti biasanya..kalau mau lihat vidio atau live biar dicari sendiri 2. Pilihan ekspedisi memang ada..tapi untuk jnt tetap tidak bisa dipilih..bisa memilih jnt tp bagaikan mencari jarum di jerami..sangat susah..padahal pihak toko menyediakan jnt..dan padahal ekspedisi lain bisa dipilih..tapi kenepa jnt tidak pernah bisa di pakai di shopee!? 3. Untuk kecepatan ekpedisi spx sangat lambat..
Nurul Laila,1,2024-12-17 09:52:22,"Makin kesini proses pengirimannya makin lama. Beda ceritanya saat pakai J&T dulu, pesanan lebih cepat sampainya. Ditrack pesanan sedang diantar dari pagi sudah ada notifikasi, tapi sampai malem tidak ada kurir antar barang, baru keesokan harinya barang diantar...tapi juga sampe sore, sering juga tengah malam kurir ketokÂ² pintu buat antar paket. Tolong perbaiki lagi expedisinya, terutama jika pakai ekspedisi SPX"
